,id,index,longitude,wind_direction,latitude,humidity,temperature_10cm,wind_direction_degrees,temperature,wind_blast,wind_speedMS,visibility_meters,wind_speedBF,sun_intensity,datetime,water_flow,waves_height,water_drainage,water_level,water_level_belgium_border,tide
189,190,404,5.589806645318076,,51.94938899050226,,,,,,,,,,2017-12-06T14:40:00Z,,,,619.0,,
190,191,73,6.511601583695056,,52.198062053051906,,,,,,,,,,2017-12-06T14:40:00Z,,,3.64,1004.0,,
191,192,433,5.666385749425156,,51.24505298932932,,,,,,,,,,2017-12-06T14:40:00Z,,,,3570.0,,
192,193,468,5.696500803489158,,50.82852998838396,,,,,,,,,,2017-12-06T14:40:00Z,,,263.66,4412.0,4645.0,
193,194,466,5.680887794224899,,50.7596529879742,,,,,,,,,,2017-12-06T14:00:00Z,,,,4473.0,,
194,195,467,5.689425802832946,,50.745437988031306,,,,,,,,,,2017-12-06T14:00:00Z,,,,5206.0,,
195,196,475,5.727580824823077,,50.92555998914082,,,,,,,,,,2017-12-06T13:50:00Z,,,,3626.0,3859.0,
196,197,51,4.263563073762241,,52.09903599649529,,,,,,,,,,2017-12-06T14:40:00Z,,,,63.0,,
197,198,534,5.876584775769228,,53.401970001596645,,,,,,,,,,2017-12-06T14:40:00Z,,,,22.0,,
198,199,193,3.682140012088534,,51.61956699794189,,,,,,,,,,2017-12-06T14:40:00Z,,,,197.0,,
199,200,84,6.22836223154871,,52.15905701811121,,,,,,,,,,2017-12-06T14:40:00Z,,,,479.0,,
200,201,85,6.237727242233452,,52.160428018966485,,,,,,,,,,2017-12-06T14:40:00Z,,,,1003.0,,
201,202,158,5.021170300951189,,52.14441999145991,,,,,,,,,,2017-12-06T14:40:00Z,,,20.91,-42.0,,
202,203,102,5.8429208051055,,52.61382999769766,,,,,,,,,,2017-12-06T14:40:00Z,,,,-12.0,,
203,204,505,5.092080300393186,,53.295499992341576,,,,,,,,,,2017-12-06T14:40:00Z,,,,-64.0,,
204,205,267,4.026206042023134,,51.39842699730652,,,,,,,,,,2017-12-06T14:40:00Z,,,,202.0,,
205,206,236,3.812647020977283,,51.33766999777724,,,,,,,,,,2017-12-06T14:40:00Z,,,,268.0,,
206,207,225,3.8075000207749894,,51.2302679977922,,,,,,,,,,2017-12-06T14:40:00Z,,,,210.0,,
207,208,252,4.238560073889319,,51.40263999650434,,,,,,,,,,2017-12-06T14:50:00Z,,,,183.0,,
208,209,232,3.7578850168972293,,51.41139299786533,,,,,,,,,,2017-12-06T14:40:00Z,,,,263.0,,
209,210,237,3.834863022829007,,51.2945199977475,,,,,,,,,,2017-12-06T14:40:00Z,,,,212.0,,
210,211,372,4.89443625729928,,51.72018599203713,,,,,,,,,,2017-12-06T14:40:00Z,,,,45.0,,
211,212,414,5.12473936267334,,51.7356679902636,,,,,,,,,,2017-12-06T14:40:00Z,,,,68.0,,
212,213,35,4.612821148426326,,52.467670994635235,,,,,,,,,,2017-12-06T14:40:00Z,,,,-44.0,,
213,214,153,5.956440983438945,,51.69699999848341,,,,,,,,,,2017-12-06T14:40:00Z,,,,805.0,,
214,215,67,5.118889324578902,,52.87347199174142,,,,,,,,,,2017-12-06T14:40:00Z,,29.0,,-19.0,,
215,216,126,4.851310235405601,,51.942999992567934,,,,,,,,,,2017-12-06T14:40:00Z,,,,17.0,,
216,217,22,4.751060179014177,,53.114829994068096,,,,,,,,,,2017-12-06T14:40:00Z,,,,-91.0,,
217,218,243,4.102372052257817,,51.36584099705616,,,,,,,,,,2017-12-06T14:50:00Z,,,,205.0,,
218,219,359,4.3344700887526555,,51.86213999611003,,,,,,,,,,2017-12-06T14:40:00Z,,,,37.0,,
219,220,393,5.45394155097514,,51.90300198958882,,,,,,,,,,2017-12-06T14:40:00Z,,,,335.0,,
220,221,401,5.292895446409167,,51.97423298978809,,,,,,,,,,2017-12-06T14:40:00Z,,,49.97,-42.0,,
221,222,184,3.814720020389078,,51.74643999777999,,,,,,,,,,2017-12-06T14:50:00Z,,,,191.0,,
222,223,99,6.211652173936733,,52.518103018486286,,,,,,,,,,2017-12-06T14:40:00Z,,,,15.0,,
223,224,429,5.445820557935315,,51.648345989002834,,,,,,,,,,2017-12-06T14:40:00Z,,,,849.0,,
224,225,247,4.2099570688971015,,51.39955499663291,,,,,,,,,,2017-12-06T14:30:00Z,,15.0,,170.0,,
225,226,427,5.4424705556157615,,51.64882998899949,,,,,,,,,,2017-12-06T14:40:00Z,,,,474.0,,
